layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.4.attention.output.dense,FAIL,0.0,3.0177080631256104,3,8,8,"[0.0, 0.0, 0.01978234015405178, 84.33062744140625, 86.07302856445312, 86.95292663574219, 88.80799102783203, 89.96348571777344]"
base_model.model.bert.encoder.layer.4.attention.self.key,FAIL,0.0,3.0282864570617676,3,8,8,"[0.0, 0.0, 0.01978234015405178, 83.05584716796875, 84.1532974243164, 87.09333038330078, 88.68270874023438, 89.20792388916016]"
base_model.model.bert.encoder.layer.4.attention.self.query,FAIL,0.0,3.0277814865112305,3,8,8,"[0.0, 0.03956468030810356, 0.044234659522771835, 82.2738265991211, 84.85879516601562, 88.0970458984375, 88.75232696533203, 89.42405700683594]"
base_model.model.bert.encoder.layer.4.attention.self.value,FAIL,0.0,3.0546114444732666,3,8,8,"[0.0, 0.0, 0.0, 79.67839050292969, 82.93562316894531, 85.63297271728516, 87.82897186279297, 89.30101013183594]"
base_model.model.bert.encoder.layer.4.intermediate.dense,FAIL,0.0,3.010472536087036,3,8,8,"[0.0, 0.0, 0.048456642776727676, 86.20256042480469, 86.59883117675781, 87.34393310546875, 89.025634765625, 89.34748840332031]"
base_model.model.bert.encoder.layer.4.output.dense,FAIL,0.0,3.030917167663574,3,8,8,"[0.0, 0.0, 0.03956468030810356, 82.26402282714844, 84.96939086914062, 86.02448272705078, 89.11676025390625, 89.53894805908203]"
base_model.model.bert.encoder.layer.5.attention.output.dense,FAIL,0.0,3.0243914127349854,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.97431182861328, 84.88645935058594, 86.82823181152344, 87.45299530029297, 88.86730194091797]"
base_model.model.bert.encoder.layer.5.attention.self.key,FAIL,0.0,3.018097400665283,3,8,8,"[0.0, 0.02797645516693592, 0.02797645516693592, 84.80744171142578, 85.64871978759766, 86.72074127197266, 88.39615631103516, 89.44337463378906]"
base_model.model.bert.encoder.layer.5.attention.self.query,FAIL,0.0,3.0308949947357178,3,8,8,"[0.0, 0.03956468030810356, 0.05595291033387184, 81.76296997070312, 85.36156463623047, 86.84574890136719, 88.37699127197266, 89.98912811279297]"
base_model.model.bert.encoder.layer.5.attention.self.value,FAIL,0.0,3.0441901683807373,3,8,8,"[0.0, 0.0, 0.048456642776727676, 81.9845199584961, 83.8265380859375, 84.91504669189453, 85.81966400146484, 89.80329132080078]"
