layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.3.intermediate.dense,PASS,79.35528245660753,0.07752763479948044,0,8,8,"[79.35528564453125, 80.9428482055664, 83.74958038330078, 86.63541412353516, 87.42850494384766, 88.38237762451172, 88.69717407226562, 89.94398498535156]"
base_model.model.bert.encoder.layer.3.output.dense,FAIL,53.22319042800301,0.6697556376457214,3,8,8,"[53.22319030761719, 67.26856994628906, 74.84540557861328, 78.81315612792969, 79.31026458740234, 82.32011413574219, 86.90265655517578, 88.34651947021484]"
base_model.model.bert.encoder.layer.4.attention.output.dense,FAIL,52.418529256978395,0.6810076236724854,3,8,8,"[52.41852951049805, 70.57704162597656, 74.93006134033203, 76.85382080078125, 78.1951904296875, 80.22752380371094, 84.7876205444336, 89.15237426757812]"
base_model.model.bert.encoder.layer.4.attention.self.key,FAIL,59.66031587165987,0.5705846548080444,2,8,8,"[59.660316467285156, 66.94058227539062, 75.09520721435547, 76.66302490234375, 80.84647369384766, 84.55249786376953, 85.66735076904297, 87.06720733642578]"
base_model.model.bert.encoder.layer.4.attention.self.query,FAIL,51.526977834427456,0.8338645100593567,3,8,8,"[51.5269775390625, 61.97284698486328, 67.50153350830078, 78.80291748046875, 81.09073638916016, 84.32028198242188, 85.07203674316406, 88.47483825683594]"
base_model.model.bert.encoder.layer.4.attention.self.value,FAIL,52.96471557924222,0.75946044921875,3,8,8,"[52.964717864990234, 63.52155303955078, 70.19013977050781, 77.47322845458984, 80.62094116210938, 85.54978942871094, 86.67757415771484, 89.55303955078125]"
base_model.model.bert.encoder.layer.4.intermediate.dense,FAIL,73.25121069725883,0.11813658475875854,1,8,8,"[73.25121307373047, 82.43291473388672, 84.03633117675781, 86.77091217041016, 87.22760009765625, 88.07327270507812, 89.03026580810547, 89.70979309082031]"
base_model.model.bert.encoder.layer.4.output.dense,FAIL,45.18907454884338,1.0598552227020264,4,8,8,"[45.1890754699707, 56.283348083496094, 68.72022247314453, 72.18724060058594, 82.10456085205078, 84.84284210205078, 86.97521209716797, 89.8322982788086]"
base_model.model.bert.encoder.layer.5.attention.output.dense,FAIL,48.023900167627566,0.8693995475769043,2,8,8,"[48.02389907836914, 57.115230560302734, 75.62747192382812, 79.47348022460938, 81.91316223144531, 84.29432678222656, 87.0995864868164, 89.56599426269531]"
base_model.model.bert.encoder.layer.5.attention.self.key,FAIL,55.78392055539459,0.654412567615509,3,8,8,"[55.78392028808594, 65.04183959960938, 73.42945861816406, 79.44266510009766, 80.29206085205078, 83.5112075805664, 86.4481430053711, 89.15528106689453]"
base_model.model.bert.encoder.layer.5.attention.self.query,FAIL,52.12560634913864,0.7148553133010864,3,8,8,"[52.125606536865234, 62.9717903137207, 73.25911712646484, 79.78817749023438, 83.86723327636719, 85.79877471923828, 89.08827209472656, 89.90733337402344]"
base_model.model.bert.encoder.layer.5.attention.self.value,FAIL,55.562403860232735,0.7833856344223022,3,8,8,"[55.56240463256836, 60.040035247802734, 67.0279769897461, 80.06211853027344, 81.16595458984375, 84.78385925292969, 89.2193374633789, 89.58936309814453]"
base_model.model.bert.encoder.layer.5.intermediate.dense,FAIL,73.128082877091,0.1599046289920807,1,8,8,"[73.12808227539062, 79.5752944946289, 80.62431335449219, 84.6186294555664, 85.68160247802734, 87.83203887939453, 88.74980163574219, 89.75973510742188]"
base_model.model.bert.encoder.layer.5.output.dense,FAIL,49.54904042815639,0.8706353306770325,3,8,8,"[49.549041748046875, 65.14555358886719, 66.53750610351562, 75.44487762451172, 79.630126953125, 84.14354705810547, 84.7908935546875, 89.00971984863281]"
base_model.model.bert.encoder.layer.6.attention.output.dense,FAIL,49.878781470717094,0.8365041017532349,3,8,8,"[49.878780364990234, 62.14226531982422, 70.34896087646484, 76.89337921142578, 81.95772552490234, 84.12237548828125, 85.4337387084961, 87.447021484375]"
