layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.4.attention.self.query,FAIL,0.0,3.0196638107299805,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.7138442993164, 86.44432830810547, 87.24542236328125, 87.9587631225586, 89.09304809570312]"
base_model.model.bert.encoder.layer.4.attention.self.value,FAIL,0.0,3.0344886779785156,3,8,8,"[0.0, 0.02797645516693592, 0.02797645516693592, 82.07220458984375, 84.4302978515625, 86.41148376464844, 87.43343353271484, 89.36560821533203]"
base_model.model.bert.encoder.layer.4.intermediate.dense,FAIL,0.01978234059262607,3.0110788345336914,3,8,8,"[0.01978234015405178, 0.01978234015405178, 0.02797645516693592, 85.61736297607422, 86.82693481445312, 87.60037994384766, 88.8299331665039, 89.87137603759766]"
base_model.model.bert.encoder.layer.4.output.dense,FAIL,0.0,3.0635268688201904,3,8,8,"[0.0, 0.0, 0.02797645516693592, 81.0506591796875, 81.84347534179688, 84.04720306396484, 85.0057601928711, 88.31555938720703]"
base_model.model.bert.encoder.layer.5.attention.output.dense,FAIL,0.0,3.029884099960327,3,8,8,"[0.0, 0.0, 0.0, 82.43692016601562, 85.1633071899414, 86.46829223632812, 87.72916412353516, 89.46546936035156]"
base_model.model.bert.encoder.layer.5.attention.self.key,FAIL,0.0,3.0398342609405518,3,8,8,"[0.0, 0.02797645516693592, 0.03426402062177658, 82.59712219238281, 83.08930969238281, 85.29794311523438, 87.64517974853516, 88.9305419921875]"
base_model.model.bert.encoder.layer.5.attention.self.query,FAIL,0.0,3.0278098583221436,3,8,8,"[0.0, 0.02797645516693592, 0.03956468030810356, 82.70277404785156, 85.19884490966797, 86.97395324707031, 87.66435241699219, 89.14199829101562]"
base_model.model.bert.encoder.layer.5.attention.self.value,FAIL,0.0,3.0398473739624023,3,8,8,"[0.0, 0.02797645516693592, 0.03426402062177658, 82.47080993652344, 83.25675964355469, 84.90996551513672, 88.38369750976562, 89.14288330078125]"
base_model.model.bert.encoder.layer.5.intermediate.dense,FAIL,0.0,3.005563259124756,3,8,8,"[0.0, 0.0, 0.0, 87.20751953125, 87.69217681884766, 88.049560546875, 88.97775268554688, 89.45358276367188]"
base_model.model.bert.encoder.layer.5.output.dense,FAIL,0.0,3.032963275909424,3,8,8,"[0.0, 0.0, 0.03426402062177658, 82.7281265258789, 84.41722869873047, 85.44039916992188, 88.06890106201172, 89.7357177734375]"
base_model.model.bert.encoder.layer.6.attention.output.dense,FAIL,0.0,3.0471415519714355,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 81.90719604492188, 82.75824737548828, 84.74213409423828, 87.57000732421875, 87.98381042480469]"
base_model.model.bert.encoder.layer.6.attention.self.key,FAIL,0.0,3.022179126739502,3,8,8,"[0.0, 0.03956468030810356, 0.044234659522771835, 84.46146392822266, 85.63511657714844, 86.30892944335938, 87.76472473144531, 87.8505859375]"
base_model.model.bert.encoder.layer.6.attention.self.query,FAIL,0.0,3.039191246032715,3,8,8,"[0.0, 0.0, 0.044234659522771835, 81.5377426147461, 83.88394165039062, 86.5343017578125, 87.33228302001953, 88.90745544433594]"
base_model.model.bert.encoder.layer.6.attention.self.value,FAIL,0.0,3.031397581100464,3,8,8,"[0.0, 0.01978234015405178, 0.03426402062177658, 83.69560241699219, 83.93206024169922, 84.87574768066406, 89.2631607055664, 89.72990417480469]"
base_model.model.bert.encoder.layer.6.intermediate.dense,FAIL,0.0,3.0086708068847656,3,8,8,"[0.0, 0.0, 0.02797645516693592, 86.29078674316406, 86.55110931396484, 88.8059310913086, 88.81727600097656, 89.86112213134766]"
base_model.model.bert.encoder.layer.6.output.dense,FAIL,0.0,3.031433343887329,3,8,8,"[0.0, 0.02797645516693592, 0.03426402062177658, 82.73514556884766, 84.46975708007812, 86.3888931274414, 87.43885803222656, 89.20811462402344]"
base_model.model.bert.encoder.layer.7.attention.output.dense,FAIL,0.0,3.0270488262176514,3,8,8,"[0.0, 0.0, 0.0, 82.84735107421875, 84.67716979980469, 87.46135711669922, 88.3123779296875, 89.40003204345703]"
